st_id,st_tui_math1,st_tui_hindi1,st_tui_other1,st_tui_math_hrs1,ts_grade1,tot_hindi1,tot_math1,per_math1,per_hindi1,m_theta_eap1,m_theta_mle1,h_theta_eap1,h_theta_mle1,any_tuition1,quint_math1,quint_hindi1,terc_math1,terc_hindi1,st_tui_math2,st_tui_hindi2,st_tui_other2,st_tui_math_hrs2,ts_grade2,tot_hindi2,tot_math2,per_math2,per_hindi2,m_theta_eap2,m_theta_mle2,h_theta_eap2,h_theta_mle2,any_tuition2,ms_center1,st_age1,st_female1,st_grade1,treat,strata,ses_index,d_sch_grade4,d_sch_grade5,d_sch_grade6,d_sch_grade7,d_sch_grade8,d_sch_grade9
TK219,0,0,0,,6-7,11,7,.2,.36666667,-.15679434,-.043267883,-.63598353,-.48170722,0,3,2,2,2,0,0,1,,4-7,9,12,.35294119,.30000001,-.098419547,.052336346,-1.2280594,-.95060986,1,Tekhand,11,0,6,0,12,-2.5628619,0,0,1,0,0,0
TK220,0,0,1,,8-9,9,13,.37142858,.30000001,.78718936,.73237419,-.20526962,-.054557309,1,4,2,3,2,,,,,,,,,,,,,,,Tekhand,13,0,8,1,12,-2.8798926,0,0,0,0,1,0
TK221,0,1,0,,8-9,3,15,.42857143,.1,1.4068526,1.2365736,-1.4925835,-1.8258758,1,5,1,3,1,0,0,0,,8-9,10,13,.37142858,.33333334,-.3181487,-.1169716,-1.2458066,-.88837659,0,Tekhand,13,0,9,0,19,1.4008003,0,0,0,0,0,1
TK222,1,1,1,1-2 hours,6-7,19,14,.40000001,.63333333,.68569833,.59100479,.79898047,.6998477,1,4,4,3,3,0,0,1,,4-7,25,13,.38235295,.83333331,-.16886683,-.032419942,1.7569227,1.6508555,1,Tekhand,12,0,7,1,13,.59565228,0,0,0,1,0,0
TK223,1,1,1,2-3 hours,6-7,13,9,.25714287,.43333334,-1.6234906,-1.3274146,-.53658438,-.35242376,1,1,3,1,2,0,0,1,,4-7,6,8,.23529412,.2,-1.8783319,-1.921697,-1.3472823,-1.0014945,1,Tekhand,12,1,6,0,17,-.54908311,0,0,1,0,0,0
TK224,1,1,1,1-2 hours,6-7,13,10,.2857143,.43333334,.30540821,.32169056,-.53228545,-.3717005,1,4,3,3,2,1,0,0,1-2 hours,4-7,19,15,.44117647,.63333333,.41317579,.43335539,.67016834,.58479738,1,Tekhand,10,1,6,0,19,1.2895874,0,0,1,0,0,0
TK226,1,1,0,1-2 hours,8-9,13,12,.34285715,.43333334,.26846853,.35122696,.44835514,.48450994,1,3,4,2,2,0,0,1,,8-9,20,15,.42857143,.66666669,.38942361,.3805998,.58737588,.47286394,1,Tekhand,13,1,8,1,14,1.6909915,0,0,0,0,1,0
TK227,1,1,1,1-2 hours,6-7,17,12,.34285715,.56666666,-.18873414,-.054050297,.58080941,.56040579,1,3,4,2,3,0,0,1,,4-7,22,18,.52941179,.73333335,.89728791,.75018227,1.1079913,.96682668,1,Tekhand,12,1,7,1,17,-1.3050153,0,0,0,1,0,0
TK230,1,1,1,More than 4 hours,6-7,13,13,.37142858,.43333334,.65441817,.66103345,-.32064468,-.25367993,1,5,2,3,2,0,0,0,,4-7,18,26,.7647059,.60000002,2.3888807,1.8438801,.29634279,.32457229,0,Tekhand,12,0,7,1,19,-.4496792,0,0,0,1,0,0
TK232,1,0,1,More than 4 hours,8-9,18,18,.51428574,.60000002,2.0648527,1.6839358,1.4532077,1.2492522,1,5,5,3,3,0,0,1,,8-9,21,25,.71428573,.69999999,2.0452008,1.5785222,1.1611766,1.0631373,1,Tekhand,14,0,9,1,13,-2.3756599,0,0,0,0,0,1
